REKAPITULASI DATA PENJUALAN COKELAT SULAMINA - TAHUN 2022,,,,,,,,,,,,,
,,,,,,,,,,,,,
Nama Barang,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Total Tahunan
Cokelat Milk Original 30g,169,198,131,162,171,129,174,157,157,129,130,191,1898
Cokelat Milk Mocha Latte 30g,482,429,454,366,349,412,383,455,394,440,419,490,5073
Cokelat Milk Kenari 30g,341,453,326,308,273,294,295,337,330,351,288,386,3982
Cokelat Milk Kacang Mente 30g,176,209,152,142,159,134,172,153,151,175,166,184,1973
Cokelat Milk Kismis 30g,154,152,137,133,129,122,124,137,124,112,113,136,1573
Cokelat Milk Cengkeh 30g,254,290,230,223,203,216,253,258,245,268,248,334,3022
Cokelat Milk Kacang Tanah 30g,96,86,61,67,73,73,71,65,71,67,79,96,905
Dark Cokelat 65% Kakao 80g,202,174,140,131,161,134,149,138,170,150,154,201,1904
Dark Cokelat 75% Dark 80g,190,220,173,155,193,176,180,190,177,160,150,210,2174
Dark Cokelat Kacang Mente 80g,302,321,294,250,234,252,296,245,275,224,252,310,3255
Dark Cokelat Kopi 80g,427,479,378,401,353,350,342,347,386,369,330,439,4601
Dark Cokelat Jahe Merah 80g,158,181,145,122,157,127,156,133,117,130,142,180,1748
Dark Cokelat Mente & Kismis 80g,187,183,151,153,130,143,137,162,147,170,144,203,1910
TOTAL KESELURUHAN,,,,,,,,,,,,,
